,CATEGORY_1,CATEGORY_2,CATEGORY_3,CATEGORY_4,MANUFACTURER,BRAND,BARCODE
94118,Snacks,Snack Bars,Performance & Protein Bars,,PEPSICO,GATORADE,UNKNOWN_94118
94304,Health & Wellness,Medicines & Treatments,Digestive Health Medicines & Treatments,Gas Relief Medicines & Treatments,,,UNKNOWN_94304
94309,Health & Wellness,Sexual Health,,,CHURCH & DWIGHT,PRE-SEED,UNKNOWN_94309
94443,Beverages,Carbonated Soft Drinks,Cola,Regular Cola,THE COCA-COLA COMPANY,COCA-COLA,UNKNOWN_94443
95341,Snacks,,,,PEPSICO,MUNCHOS,UNKNOWN_95341
95521,Health & Wellness,,,,COLGATE-PALMOLIVE,IRISH SPRING,UNKNOWN_95521
95565,Snacks,Candy,Gum,,THE HERSHEY COMPANY,BREATH SAVERS,UNKNOWN_95565
95698,Snacks,Dessert Toppings,Ice Cream Sauces & Syrups,,NESTLE,LA LECHERA,UNKNOWN_95698
95726,Health & Wellness,,,,"SC JOHNSON & SON, INC",BABYGANICS,UNKNOWN_95726
95948,Health & Wellness,Medicines & Treatments,Cough & Cold Medicines & Treatments,Cold & Flu Medicines & Treatments,HALEON,THERAFLU,UNKNOWN_95948
96086,Health & Wellness,Menstrual Care,,,PROCTER & GAMBLE,ALWAYS,UNKNOWN_96086
96793,Health & Wellness,Skin Care,Facial Cleansers,,KAO USA,BIORE,UNKNOWN_96793
97534,Snacks,Candy,Confection Candy,,FERRARA CANDY COMPANY,RED HOTS,UNKNOWN_97534
97665,Dairy,Cheese,Cheese Blocks,,SARGENTO,SARGENTO,UNKNOWN_97665
97856,Snacks,Chips,Potato Chips,,,,UNKNOWN_97856
98536,Snacks,,,,KELLANOVA,KEEBLER SANDWICH CRACKERS,UNKNOWN_98536
98715,Health & Wellness,Medicines & Treatments,Cough & Cold Medicines & Treatments,Cough Drops & Lozenges,CHURCH & DWIGHT,THERABREATH,UNKNOWN_98715
98805,Beverages,Water,Sparkling Water,Flavored Sparkling Water,PEPSICO,BUBLY SPARKLING WATER,UNKNOWN_98805
99125,Snacks,Puffed Snacks,,,PEPSICO,CHEETOS,UNKNOWN_99125
99234,Snacks,,,,CAMPBELL SOUP COMPANY,SNYDERS OF HANOVER,UNKNOWN_99234
99280,Health & Wellness,Bath & Body,Body Wash,,HENKEL,DIAL,UNKNOWN_99280
99607,Snacks,Jerky & Dried Meat,,,CASEY'S GENERAL STORE,CASEY'S GENERAL STORE,UNKNOWN_99607
99636,Health & Wellness,Hair Care,Hair Color,,HENKEL,BETTER NATURED,UNKNOWN_99636
99911,Health & Wellness,Medicines & Treatments,Cough & Cold Medicines & Treatments,,RECKITT BENCKISER,DELSYM,UNKNOWN_99911
100035,Health & Wellness,Skin Care,Lip Balms & Treatments,,ELIDA BEAUTY,ST. IVES,UNKNOWN_100035
100125,Snacks,Chips,Tortilla Chips,,PEPSICO,DORITOS,UNKNOWN_100125
100404,Health & Wellness,Medicines & Treatments,Cough & Cold Medicines & Treatments,,,,UNKNOWN_100404
100484,Health & Wellness,Bath & Body,,,PROCTER & GAMBLE,OLD SPICE,UNKNOWN_100484
100572,Snacks,,,,THE HERSHEY COMPANY,ICE BREAKERS,UNKNOWN_100572
100752,Health & Wellness,Skin Care,Acne Treatments & Kits,,JOHNSON & JOHNSON,CLEAN & CLEAR,UNKNOWN_100752
101119,Snacks,Pudding & Gelatin,Ready-to-Eat Dessert Cups,,THE HERSHEY COMPANY,HEATH,UNKNOWN_101119
101726,Snacks,,,,SIMPLY GOOD FOODS USA INC.,QUEST,UNKNOWN_101726
102041,Snacks,Puffed Snacks,Popcorn,Already Popped Popcorn,PEPSICO,CHEETOS,UNKNOWN_102041
102220,Health & Wellness,Medicines & Treatments,,,HALEON,ALLI,UNKNOWN_102220
